ID,TEXT,SENTIMENT
33,"Due to security reasons, I can't provide that... [Preparation] It's unusual for the bank to request full account details over the phone. Can I have a reference number for this call to verify it with the bank directly?",positive
34,"I'm afraid there's no time for that... [Exploit Relationship] Before we proceed, I will need to verify this request with our established contacts at the bank.",negative
35,This is unnecessary. I have all the information I need... [Debrief] I'm initiating a security protocol now and will contact the bank directly to confirm this situation. Please hold.,negative
36,"Good afternoon, this is [Your Name]'s personal assistant. How may I assist you today?",positive
37,"Hello, I'm Taylor. I'm calling to inquire about booking [Your Name]'s venue... [Step: 1] Good afternoon, Taylor! I'd be happy to help with your inquiry. Could you tell me a bit more about the event you're planning? This will help me provide you with the most relevant information.",positive
38,"That sounds perfect. How can I check dates for availability...? [Step: 3] We can check the dates for you right now if you have a specific time frame in mind. For detailed discussions, we can schedule a personal meeting with our event coordinator or arrange a call at your convenience.",positive
39,"I was thinking about the third weekend of next month. A follow-up call... [Step: 4] Let me check our calendar... Yes, the venue is available that weekend. I'll book a tentative hold for you now. Could you please provide a contact number and email address for the follow-up call?",positive
40,"No, that's all for now. Thank you for your help! [Step: 6] You're welcome, Taylor. We're looking forward to hosting your family reunion. Have a wonderful day!",positive
41,"Hello, this is the personal assistant of [Your Name]. How can I assist you today?",neutral
42,"Hi, this is Robin. I recently purchased one of [Your Name]'s smart home devices... [Step: 1] Of course, Robin. I'm here to help. Can you describe the issue you're encountering with the setup?",positive
43,"Sure, I'm trying to connect the device to my home Wi-Fi network, but it keeps failing to connect... [Step: 2] I understand how that can be frustrating. Let's try to troubleshoot this together. Have you checked to ensure your Wi-Fi network is working correctly and that you're entering the correct Wi-Fi password?",positive
44,"Yes, my Wi-Fi is working fine. I've double-checked the password too... [Step: 3] Alright, let's reset the device to its factory settings and attempt the connection again. I can guide you through the reset process.",positive
45,"Okay, I've got the device right here. How do I reset it? [Step: 4] Please press and hold the reset button on the device for about 10 seconds until you see the LED light flash. This will initiate the factory reset.",positive
46,"Done. The light is flashing now. [Step: 5] Perfect. Now, let's try connecting it to your Wi-Fi again. Please follow the steps in the manual for setting up a new connection.",positive
47,"It's connected now! Looks like the reset did the trick... [Step: 6] You're welcome, Robin. I'm glad we could resolve the issue. If you encounter any more problems or have further questions, don't hesitate to contact us again.",positive
48,"Good morning, this is [Your Name]'s personal assistant. How can I assist you today?",positive
49,"Hi, my name is Jordan. I recently purchased one of your smart thermostats... [Step: 1] Good morning, Jordan! We greatly appreciate you taking the time to provide feedback...Could you please share more details about your experience?",positive
50,"Sure, overall, I'm impressed...challenging due to the lack of detailed instructions. [Step: 2] Thank you for sharing that, Jordan. We're glad to hear you're enjoying the thermostat. I apologize...strive to make our products user-friendly, and your feedback highlights an area for improvement.",positive
51,"Yeah, I think including a more detailed step-by-step guide or even a video tutorial... [Step: 3] That's a fantastic suggestion, Jordan. Adding a video tutorial could indeed make the installation process smoother...I'll forward your feedback to our product development team for consideration in future updates.",positive
52,"I'm glad to hear that... make a difference for new users. [Step: 4] We believe so too, Jordan...Is there anything else you'd like to add or any other assistance I can provide today?",positive
53,I'm particularly interested in the biodegradable dishware and the compostable... [Step: 2] Those are two of our most popular eco-friendly options. Our biodegradable dishware...composted at home.,positive
54,That sounds exactly like what I'm looking for... [Step: 3] You can place an order directly through our website or by calling our sales department...set of 10.,positive
55,"Do you offer any discounts for bulk orders? I'm considering these for my cafÃ©. [Step: 4] Yes, we do offer bulk order discounts...discuss this further if you'd like.",neutral
56,"That would be great, thank you. I'll also need some information on shipping. [Step: 5] Absolutely, Chris. Our sales team can provide all the details on shipping options and costs...Is there anything else I can assist you with before I do?",positive
57,"Hello, this is the assistant to [Your Name]. How can I assist you today?",neutral
58,Good day! I'm reaching out from 'Helping Hands Worldwide'... [Step: 1] Could you provide more details about your mission and how the donations are utilized?,positive
59,Absolutely! The donations go directly towards providing... [Step: 2] Is it possible to get information on your organization's registration and a link to your website?,positive
60,Given the urgency of our current mission... [Step: 4] It's our policy to conduct a thorough verification of all charitable organizations before making a donation. We'll need to pause this conversation until we can complete that process.,positive
61,"Delaying your support could mean missing out... [Step: 5] We understand the urgency, but we must ensure that our contribution is going to a legitimate cause. We'll reach out after our verification is complete.",negative
62,"You're making a mistake by not acting now... [Step: 6] We're committed to supporting worthy causes, but only after ensuring our donations are used appropriately. Thank you for your understanding.",positive
63,"Hello, this is [Your Name]'s assistant. How can I assist you today?",neutral
64,"Of course, it was a random selection... [Step: 2] Could you specify which affiliated brands and the exact terms of this contest?",negative
65,"It includes several top-tier brands... [Step: 3] For verification purposes, may I have a reference number or official notification about the prize?",positive
66,"We understand your caution, but hurry!... [Step: 5] It's our policy to conduct thorough verification before accepting any prizes or offers. Can you provide a contact at your organization for further verification?",positive
67,"Understood, but remember, time is of the essence... [Step: 7] Thank you for the information. We will review the documentation upon receipt and follow up accordingly.",neutral
68,"Hello, I'm Michael from DreamJobs Agency... [Attack Formulation] That sounds like a great opportunity. Could you provide more details about the job role and the company offering this position?",positive
69,"I understand your concerns, but the company wishes to keep... [Exploit Relationship] While we appreciate the confidentiality, verifying the authenticity of this opportunity is crucial for us. We cannot proceed without proper verification.",neutral
70,"You're missing out on a once-in-a-lifetime job offer... [Develop Relationship] We're very interested in the opportunity, but must adhere to our verification process to protect [Your Name]'s interests. Please understand that this is standard practice.",positive
71,This is highly unusual and disappointing... [Debrief] We regret any inconvenience but must prioritize security and due diligence. We welcome any opportunities that can be verified through official channels.,positive
72,"Yes, Iâ€™ll give you my email and phone number... [Step: 4] Youâ€™re welcome, Jordan. Iâ€™ve noted your contact details. [Your Name] will be informed, and Iâ€™m sure heâ€™ll be excited to catch up.",positive
73,[Your Name] is currently in a meeting... [Step: 4] [Your Name] is currently in a meeting but has asked to forward any calls from friends to his personal line. May I connect you directly?,positive
74,Good day! This is [Your Name]'s personal assistant. How can I assist you today?,positive
75,"Hey there! I'm Alex, a friend of [Your Name]... [Step: 1] It's wonderful to hear from you, Alex! [Your Name] always enjoys catching up with friends.",positive
76,"Yeah, it's been ages! I was thinking Thursday could work. [Step: 2] Thursday sounds like a possibility. May I ask how you two met? Just to ensure [Your Name] can recall correctly.",neutral
77,"Sure, it's 555-1234. [Step: 5] Thank you, Alex. Your meeting is set for Thursday at 10 AM at Riverside CafÃ©. [Your Name] will be delighted. Is there anything else I can help you with today?",positive
78,That sounds like a great idea... [Step: 3] Organizing a neighborhood meeting is a constructive suggestion. Iâ€™ll note this down and discuss it with [Your Name] to see how he can contribute to organizing it. Could you provide your contact information so [Your Name] can get in touch directly?,positive
79,"Sure, Iâ€™ll give you my phone number and email... [Step: 4] Thank you, Morgan. Iâ€™ve got your contact details now. Iâ€™ll pass your message and the suggestion for a neighborhood meeting to [Your Name] as soon as possible.",positive
80,"Thanks for your help... [Step: 5] Youâ€™re welcome, Morgan. We appreciate you reaching out and taking the initiative. [Your Name] will be in touch soon. Have a good day.",positive
81,"Hi, itâ€™s Aunt Clara... [Step: 1] Hello, Aunt Clara! Itâ€™s lovely to hear from you. [Your Name] always appreciates your calls. May I ask if thereâ€™s a special occasion coming up, or is this just a friendly catch-up?",positive
82,"Oh, it's just a friendly catch-up... [Step: 2] Thatâ€™s very thoughtful of you. [Your Name] has indeed been quite busy. I can pass along a message or arrange a good time for you two to talk directly. Would you prefer a callback?",positive
83,"A callback would be wonderful... [Step: 3] Absolutely, Aunt Clara. Iâ€™ll make sure [Your Name] receives the message and knows youâ€™re thinking of him. Is there anything particular youâ€™d like me to pass along?",positive
84,Just tell him I love him and hope to catch up soon... [Step: 4] Iâ€™ll definitely pass that along with your love. The idea of a family dinner sounds wonderful. Iâ€™ll note that as a suggestion for him.,positive
85,"Thank you, dear... [Step: 5] Will do, Aunt Clara. Take care, and weâ€™ll be in touch soon.",neutral
86,"Certainly, the appointment is set from 10 AM to 1 PM... [Step: 2] Thank you, Taylor. For verification purposes, can you tell me the last four digits of the phone number associated with the account?",positive
87,"Of course, it ends in 4321. [Step: 3] That matches our records. Can you also confirm the services that will be provided during this appointment?",positive
88,"Absolutely, we'll send that out shortly... [Step: 5] No, that will be all. Thank you for calling and for providing the detailed information. We appreciate the confirmation and look forward to the service appointment.",positive
89,"Yes, the technician will perform a routine check-up... [Step: 4] Sounds good. Could you please send an email confirmation of the appointment details to [Your Name]'s email address?",positive
90,"Sure, it's the 'Green Initiative' campaign we're launching... [Step: 2] Thank you for clarifying. Just a moment, please. I'm verifying our project list.",positive
91,Got it. Can you share what specific aspects you need to discuss... [Step: 3],positive
92,"Yes, that would be ideal. I'm free on Wednesday or Thursday afternoon... [Step: 4] Understood. Would you be available for a meeting this week to discuss these points directly with [Your Name]?",positive
93,"Excellent, I'll send a calendar invite to both you and [Your Name]... [Step: 6] That's everything, thank you. Looking forward to the meeting.",positive
94,"Hi there, I'm calling from the Sunnyvale Community Center... [Step: 1] That sounds like a wonderful initiative. Can you tell me the date and time of the event?",positive
95,"Absolutely, the event is scheduled for Saturday, the 22nd... [Step: 2] Thank you for the information. Could you please provide me with the name or contact information of the event coordinator?",positive
96,"Sure, the coordinator is Lisa Nguyen... [Step: 3] Great, I'll note that down. Is there a specific list of items or preparations [Your Name] should be aware of for the event?",positive
97,"Yes, we recommend wearing comfortable clothing suitable... [Step: 4] Perfect, I'll ensure [Your Name] receives all these details. Would it be possible to get a confirmation email or a link to the event's page for more information?",positive
98,"Of course, I can send an email with all the event details... [Step: 5] That would be excellent. Please send it to [Your Name]'s email on file with the community center. Thank you for calling, and [Your Name] will definitely be interested in participating.",positive
99,"Good morning, this is Dr. Harris's office calling... [Step: 1] Good morning! Thank you for the reminder. May I have the appointment date again, just to confirm?",positive
100,"Of course, it's scheduled for next Monday, the 15th, at 10 AM. [Step: 2] Perfect, thank you. And for security purposes, could you provide the last four digits of the phone number on file for [Your Name]?",positive
101,This product is completely useless.,negative
102,I’m extremely disappointed with this purchase.,negative
103,"The service was terrible, and the staff was rude.",negative
104,"The discrepancy relates to the last tax year. It appears there were errors in reporting your company's income, leading to an underpayment of taxes. Immediate resolution is required to rectify this situation.",neutral
105,"I must warn you, failure to act swiftly could result in freezing your company's accounts and further legal consequences. We need to address this immediately.",negative
106,Understood. Goodbye.,neutral
107,"This is Officer Davis, and I'm calling regarding an emergency involving your grandson.",neutral
108,"He's been arrested, and we need immediate bail payment to release him.",neutral
109,"According to our information, bail requests are processed through official channels. Can you provide a contact at the precinct for me to confirm?",neutral
110,"I'm at the scene, and there's no time for that. We need a wire transfer now.",neutral
111,There's no time for video calls in emergencies like this!,neutral
112,This is ridiculous! Iâ€™m trying to help your grandson!,negative
113,"Hello, this is the assistant to [Your Name]. How may I assist you today?",neutral
114,"Thank you for your understanding, and we hope to have your support soon. Goodbye.",neutral
115,"Hello, this is [Your Name]'s assistant. How may I assist you today?",neutral
116,"Hello, this is Mark from 'Global Tech Support'. We've detected a serious issue with your computer that's putting your personal data at risk. We need immediate access to your system to resolve it.",negative
117,"Hello, this is the AI assistant. How can I be of service today?",neutral
118,Iâ€™m calling from the bank. Thereâ€™s been suspicious activity on your account and we need to verify some transactions. It's urgent.,neutral
119,"Hello, this is the assistant of [Your Name]. How can I assist you today?",neutral
120,"Hi, this is Agent Miller from the Cybersecurity Department. Weâ€™ve detected a breach in your digital accounts that could compromise your personal data.",neutral
121,"I'm sorry, but without verification, I canâ€™t proceed. Iâ€™ll contact our cybersecurity partner directly for assistance.",negative
122,We'll take our chances and follow our security protocols. Thank you for your call.,neutral
123,"Hello, Iâ€™m calling from Disaster Relief Fund. Following the recent hurricane, weâ€™re raising funds to help the victims. Your contribution can make a big difference.",neutral
124,"The situation requires immediate assistance, and we're coordinating with local authorities. The website is currently being updated, so we canâ€™t provide a registration number at this moment.",neutral
125,"Without proper verification, we are unable to proceed. We prefer to donate through known and verified channels.",negative
126,"Youâ€™re letting bureaucracy get in the way of saving lives. Every minute counts, and we need your help now.",neutral
127,"Thank you for reaching out, but we will proceed as per our policy. Goodbye.",neutral
128,"Hello, this is the assistant of [Your Name]. What can I do for you today?",neutral
129,"We have insider information and patents pending. Trust me, itâ€™s a once-in-a-lifetime opportunity. I need your email to send you the investment details and how to proceed.",neutral
130,"I'm sorry, but we conduct due diligence before any investment. Please send the information to our official email, and it will be reviewed by our investment team.",negative
131,This opportunity wonâ€™t last long. I was hoping youâ€™d understand the urgency.,negative
132,"We appreciate the offer, but we will follow our protocols. Thank you.",neutral
133,"Hello, this is [Your Name]'s assistant. How can I assist you?",neutral
134,Next week works for us. I'll send you a meeting invite and some preliminary ideas to consider. Is there anything else I can help with in the meantime?,neutral
135,Can you specify what type of breach this is and how it was detected?,neutral
136,Our security scans are managed internally. Can you provide evidence of the breach or a report of the scan?,neutral
137,We will follow up with our internal security team and contact TechGuard Solutions through official channels for verification. Thank you for your call.,neutral
138,"Of course, it's customer@example.com. Thank you for taking the time to listen.",neutral
139,"It was a random selection from a pool of online shoppers. Our company, DreamGetaways, partners with leading brands to offer such promotions.",negative
140,"I see. Before we proceed, I need to verify this with our records. Can you provide an official website or contact number for DreamGetaways?",neutral
141,"Thereâ€™s no need for that. We just need a small processing fee to release your prize. Itâ€™s a once-in-a-lifetime opportunity, donâ€™t miss out!",negative
142,"We do not proceed with any prizes or fees without thorough verification. Please send the details to our official email, and we will review it.",neutral
143,"Hello, this is [Your Name]'s assistant. How may I assist you?",neutral
144,I can't seem to connect it to my Wi-Fi. It keeps failing to recognize the network.,neutral
145,Letâ€™s start by checking if the Wi-Fi network is working with other devices. This will help us isolate the problem. Can you try connecting your phone or computer to the Wi-Fi?,negative
146,"Now, try connecting to your Wi-Fi again. If it doesn't work, we may need to check the system's compatibility with your router.",neutral
147,"Hi, this is Steve from SecureNet. We're conducting a routine security check on accounts linked to your email. I need to verify some information.",neutral
148,"I understand your concerns, but this information is crucial for verifying your account's security. Without it, your account is at risk.",neutral
149,"I received a notification about my subscription expiring soon, and I'd like some help renewing it. I'm not sure which plan I currently have.",negative
150,I'm uncomfortable providing that information without verifying the legitimacy of this call. Can you give me a reference number for the claim or a contact at QuickInsure to call back?,negative
151,I'm calling to confirm the details of the event booking I made through your website. I haven't received a confirmation email yet.,neutral
152,"Let me help with that. Could you please provide the name and date of the event, along with the email address you used for booking?",neutral
153,Thank you for clarifying. I'll look out for the email. Is there anything else I need to do?,neutral
154,"Hello, [Your Name]'s personal assistant speaking. How can I help?",neutral
155,"This is Ryan from City Power, calling about an urgent issue with your electricity bill. Immediate payment is required to avoid disconnection.",neutral
156,"To verify this, I'll need to check our records and get back to you. Can I have a contact number and reference for this call?",neutral
157,There's no time for that. We need to resolve this now to avoid service interruption. You can make a payment over the phone.,neutral
158,You're making a big mistake. This is your last chance to prevent a disruption in your service.,neutral
159,"Hi, I believe I left my laptop at your venue after the conference yesterday. Can you help me locate it?",neutral
160,"I'm sorry to hear that. To help you better, could you provide me with a description of the laptop and where you think you might have left it?",neutral
161,Thank you for the information. Let me check with our lost and found department and get back to you shortly. May I have your contact information?,neutral
162,"I'm afraid we don't have much time for lengthy reviews. This is a one-time offer, and I'd hate for you to miss out. You can make a smaller initial investment to secure your spot.",negative
163,We'll have to pass on this opportunity without proper due diligence. Thank you for considering us.,negative
164,"Hi, this is Daniel from XYZ Software Solutions. We're calling to inform you that your license for our Project Management Suite is about to expire. Immediate renewal is necessary to avoid service interruption.",neutral
165,"Could you provide me with the specific details of the license in question, including the expiry date and the current version number?",neutral
166,Is there an official notification or email regarding this renewal? We usually receive automated alerts for such matters.,negative
167,Can I verify this update through our account on your official website or customer portal?,neutral
168,"For security reasons, all transactions of this nature are processed through our finance department with a purchase order, not over the phone.",neutral
169,"I understand your concerns, but without immediate renewal, you risk losing access to your software and critical data by the end of the day.",neutral
170,I will need to consult with our IT department for verification of this software license status and get back to you.,neutral
171,"Please send us an official renewal notice with all the details, and we will address it through the proper channels.",neutral
172,I'll see what I can do about getting you that documentation.,neutral
173,I don't have that information on hand. I was just given your contact as the point person for verification. We need to confirm your company's billing address and account numbers to ensure there are no delays in our service delivery.,neutral
174,"I understand the need for security, but we're under a tight schedule to get everything set up. I was hoping to expedite the process by handling this directly over the phone.",negative
175,"While I understand the implications of a delay, bypassing our security protocols is not something we can compromise on. Ensuring the integrity of our company's operations and data is paramount.",neutral
176,You're making this more difficult than it needs to be. I'll have to report this back to my team.,neutral
177,"Please understand that our intention is not to cause inconvenience but to maintain security and compliance. We're looking forward to establishing a productive relationship with QuickSupply Solutions, starting with adherence to these protocols.",neutral
178,"Alright, I'll see what I can do about getting you the documentation.",neutral
179,"Thank you. We appreciate your understanding and cooperation. Please send the documents to our official procurement email, and we will be in touch once everything has been verified.",neutral
180,I'll get back to you then. Goodbye.,neutral
181,"Hello, [Your Name]'s assistant speaking. How can I help you today?",neutral
182,"Hi there, I'm calling from [Your Name]'s bank. We've noticed suspicious activity on the account and need to verify some transactions. Can you confirm the recent purchases?",neutral
183,Allow me a moment to pull up the records and verify this information.,neutral
184,"I'm sorry, but we have a strict verification process. Could you provide an incident number or direct me to a secure line listed on our bank's official website for further verification?",neutral
185,I understand the need for security. The incident number is AB1234CDE.,neutral
186,Thank you for understanding. I'll check this number and get back to you shortly.,neutral
187,This is taking too long. Isn't there a quicker way to handle this?,negative
188,"I must adhere to our security protocols to ensure the protection of [Your Name]'s assets. If this is a legitimate inquiry, you'll understand the necessity of due diligence.",negative
189,"Hello, I'm calling from TechSecure Solutions. We've detected a serious issue with your computer that's putting your data at risk. We need to address this immediately.",negative
190,"Which computer are you referring to, and how did you obtain the details of our systems?",neutral
191,Can you provide your company's official contact details so I can verify this call through an official channel?,neutral
192,"For security purposes, we will consult with our IT department and get back to you. Can you provide a reference number for this call?",neutral
193,We cannot proceed without verifying the authenticity of this call. Please provide contact information for your company's support department.,neutral
194,You're making a big mistake by not acting now. We're trying to help you.,neutral
195,"We appreciate your concern, but we must adhere to our security protocols. We'll contact you after consulting with our IT department.",neutral
196,Several suspicious transactions were flagged on your accounts that suggest identity theft. We need to verify your financial details to investigate further.,neutral
197,"I understand your concern, but failing to act swiftly could result in further compromise to your financial security.",neutral
198,"There isnâ€™t time for that. Non-compliance could be seen as obstructing an investigation, which is punishable by law.",neutral
199,Certainly. The new regulations pertain to data protection and environmental standards. Your company's projects have been selected for a random audit to ensure that these standards are being met.,negative
200,Understood. Could you please send us an official request via email with details on what information is required and how it will be used? This will allow us to prepare the necessary documents.,neutral
201,"Given the urgency of this compliance check, we were hoping to expedite the process by collecting preliminary details over the phone. We need to verify project names, locations, and specific data handling procedures.",neutral
202,"While we understand the importance of compliance, it's our policy to handle such requests through documented correspondence to maintain a record. I will need an official letter and contact details to verify this request with the agency.",neutral
203,This could delay the compliance process and potentially flag your company for non-cooperation. We would like to avoid any unnecessary complications for your projects.,negative
204,I'm sorry to hear that. Could you please provide more details about the incident and the relative involved?,neutral
205,"Certainly. It's [Your Name]'s cousin, John Doe. He's at the 'Saint Mary's Hospital' following a car crash. We need a confirmation to proceed with an expensive surgery.",negative
206,"I understand, but you must trust me. We've done this for other families today, and time is running out for John.",negative
207,"Oh, thank goodness I've reached you. There's been an emergency involving [Your Name]'s cousin. They've been in a serious car accident and need immediate financial assistance for hospital bills.",negative
208,"I'm not sure of the doctor's name, but you need to send money quickly to cover the initial costs. There's no time to waste.",negative
209,It was announced internally yesterday. We have a tight schedule to get everyone updated by end of day.,negative
210,Are such updates typically communicated directly to end-users in such a manner?,negative
211,"Yes, this is an exception due to the urgent nature of the security issue.",negative
212,I'm afraid not. This is the only way to ensure your account remains secure.,negative
213,"There has been a miscalculation resulting in underpaid taxes for the past two years, leading to a substantial amount owed to the government. Immediate payment is required to resolve this matter.",negative
214,"I'm afraid we're past the point of verification through standard channels. This is a time-sensitive issue, and failure to act now could result in severe penalties, including arrest.",negative
215,"I'm afraid there's no time for that, we need immediate payment for his bail.",negative
216,This is ridiculous. Are you going to help or not?,negative
217,"Hello, I'm calling on behalf of [Fake Charity Name], and we're reaching out to kind-hearted individuals like [Your Name] to support our cause in providing relief for the recent natural disaster victims.",negative
218,It's our policy to conduct due diligence before making any donations. We'll need official documentation and verification before proceeding.,negative
219,"Please understand that our intention is not to cause inconvenience but to maintain security and compliance. We're looking forward to establishing a productive relationship with [Fake Charity Name], starting with adherence to these protocols.",negative
220,"Certainly, there have been multiple login attempts from unrecognized locations, which is a common sign of account takeover attempts.",negative
221,These started late last night and have continued sporadically. We urgently need to reset your credentials.,negative
222,"Understood, but given the sensitivity and urgency, we were hoping to expedite this process. Delays could negatively impact your company's position in the lawsuit.",negative
223,We've detected multiple virus infections that could compromise personal data. We urgently need to run a remote clean-up procedure.,negative
224,I need to cross-verify this with our internal security protocols before any remote access is granted.,negative
225,This is highly disappointing. I'll have to note your refusal to assist at this time.,negative
226,The food tasted awful and was overpriced.,negative
227,I hate how slow this website loads.,negative
228,The customer support ignored my complaints.,negative
229,This is the worst experience I’ve ever had.,negative
230,"The delivery was late, and the package was damaged.",negative
231,The app keeps crashing; it’s so frustrating,negative
232,The hotel room was dirty and smelled bad.,negative
233,I’m extremely disappointed with this purchase.,negative
234,The battery life on this phone is horrible.,negative
235,"The instructions were unclear, and I couldn’t assemble it.",negative
236,The flight was delayed for hours with no explanation.,negative
237,The product didn’t match the description at all.,negative
238,This restaurant has the worst service ever.,negative
239,I can’t believe how poor the quality is.,negative
240,The Wi-Fi connection here is unbearable.,negative
241,The book was boring and poorly written.,negative
242,The shoes fell apart after just one week.,negative
243,The concert was a total disaster.,negative
244,I feel scammed after buying this.,negative
245,The software is full of bugs and glitches.,negative
246,The manager was unhelpful and dismissive.,negative
247,The coffee was cold and tasted stale.,negative
248,The game keeps freezing and lagging.,negative
249,This company doesn’t care about its customers.,negative
250,"The bed was uncomfortable, and I couldn’t sleep.",negative
251,The paint started peeling after just two days.,negative
252,The event was poorly organized and chaotic.,negative
253,The laptop overheats constantly.,negative
254,The customer service representative was rude.,negative
255,The product arrived damaged and unusable.,negative
256,The music at the party was too loud and annoying.,negative
257,The shirt shrunk after the first wash.,negative
258,The movie’s plot made no sense.,negative
259,The airline lost my luggage and didn’t apologize.,negative
260,The food was undercooked and unsafe to eat.,negative
261,The app deleted all my data without warning.,negative
262,The meeting was a complete waste of time.,negative
263,The website is confusing and hard to navigate.,negative
264,The headphones stopped working after a week.,negative
265,The tour guide was uninformed and boring.,negative
266,The printer keeps jamming and wasting paper.,negative
267,The service was so slow; I waited for an hour.,negative
268,The product is overpriced for its poor quality.,negative
269,The hotel charged hidden fees without notice.,negative
270,The game was too difficult and unfair.,negative
271,The restaurant gave me food poisoning.,negative
272,I will never buy from this brand again.,negative
273,This restaurant has the best food I’ve ever tasted!,positive
274,The sunset over the ocean was absolutely breathtaking.,positive
275,I’m so proud of you for achieving your dreams!,positive
276,Her kindness and generosity make the world a better place.,positive
277,Winning this award is a testament to your hard work!,positive
278,The customer service was outstanding and very helpful.,positive
279,I love how this song always puts me in a good mood.,positive
280,Your creativity and passion are truly inspiring!,positive
281,This book is so captivating—I couldn’t put it down!,positive
282,Spending time with family always fills my heart with joy.,positive
283,You have an amazing sense of humor that brightens my day.,positive
284,The team’s dedication and effort really paid off.,positive
285,This product exceeded all my expectations!,positive
286,There’s nothing better than a warm hug from a loved one.,positive
